Date,Open*,High,Low,Close,Volume,Market Cap
24-Sep-16,0.007234,0.007424,0.00717,0.007362,2170050.00 ,256511008.00 
25-Sep-16,0.007356,0.007986,0.007316,0.007855,4699860.00 ,260832000.00 
26-Sep-16,0.007872,0.008593,0.007847,0.007963,9102940.00 ,279128992.00 
27-Sep-16,0.007959,0.008306,0.007919,0.008229,6131430.00 ,282217984.00 
28-Sep-16,0.00822,0.009082,0.00822,0.009048,7558520.00 ,291479008.00 
29-Sep-16,0.009065,0.00909,0.008707,0.008914,5974090.00 ,321424000.00 
30-Sep-16,0.00891,0.00924,0.008789,0.00883,7561150.00 ,316084992.00 
1-Oct-16,0.008839,0.008848,0.008186,0.008205,5895530.00 ,313569984.00 
2-Oct-16,0.008197,0.008316,0.008084,0.008165,2072840.00 ,290783008.00 
3-Oct-16,0.008165,0.008241,0.008065,0.008089,2776300.00 ,289639008.00 
4-Oct-16,0.008115,0.008132,0.007853,0.007853,2642950.00 ,287883008.00 
5-Oct-16,0.007873,0.007895,0.007407,0.007435,4840340.00 ,279308000.00 
6-Oct-16,0.007429,0.00746,0.007321,0.007382,2826190.00 ,263560000.00 
7-Oct-16,0.007377,0.007459,0.00735,0.007377,3042600.00 ,261722000.00 
8-Oct-16,0.007371,0.007377,0.00726,0.00731,2019560.00 ,261504000.00 
9-Oct-16,0.00731,0.007563,0.007299,0.007543,3390900.00 ,259324000.00 
10-Oct-16,0.007542,0.008105,0.007542,0.007978,6150610.00 ,267572000.00 
11-Oct-16,0.007993,0.008324,0.007905,0.008234,4003630.00 ,283575008.00 
12-Oct-16,0.008208,0.008507,0.007934,0.007949,2943130.00 ,291174016.00 
13-Oct-16,0.007951,0.007984,0.007867,0.007982,1009720.00 ,282060992.00 
14-Oct-16,0.00798,0.00896,0.00797,0.008767,1915430.00 ,283104992.00 
15-Oct-16,0.008769,0.008885,0.00813,0.008146,781979.00 ,311086016.00 
16-Oct-16,0.008137,0.00823,0.008055,0.008078,608355.00 ,288675008.00 
17-Oct-16,0.008079,0.008144,0.008011,0.00803,2485290.00 ,286614016.00 
18-Oct-16,0.008032,0.00835,0.008026,0.00835,3782990.00 ,284943008.00 
19-Oct-16,0.008348,0.008637,0.008318,0.008627,3360180.00 ,296136992.00 
20-Oct-16,0.008636,0.009124,0.00862,0.009092,5895540.00 ,306376992.00 
21-Oct-16,0.00909,0.009128,0.008856,0.009029,4055710.00 ,322601984.00 
22-Oct-16,0.009027,0.009081,0.008864,0.008972,1649580.00 ,320363008.00 
23-Oct-16,0.008977,0.009454,0.008915,0.009454,974189.00 ,318561984.00 
